                  relname                  | reltuples | relpages 
 _pg_foreign_servers                       |         0 |        0
 pg_toast_13668                            |         0 |        0
 user_defined_types                        |         0 |        0
 role_usage_grants                         |         0 |        0
 data_type_privileges                      |         0 |        0
 image_slider_page_map                     |         0 |        0
 pg_user_mapping                           |         0 |        0
 usage_privileges                          |         0 |        0
 role_udt_grants                           |         0 |        0
 udt_privileges                            |         0 |        0
 views                                     |         0 |        0
 triggers                                  |         0 |        0
 foreign_data_wrappers                     |         0 |        0
 cache_miss                                |         0 |        0
 prod_opt_map_archive                      |         0 |        0
 triggered_update_columns                  |         0 |        0
 website_link_cat_map                      |         0 |        0
 transforms                                |         0 |        0
 tables                                    |         0 |        0
 view_table_usage                          |         0 |        0
 role_table_grants                         |         0 |        0
 foreign_table_options                     |         0 |        0
 pg_transform                              |         0 |        0
 table_privileges                          |         0 |        0
 pg_toast_88318                            |         0 |        0
 pg_toast_2606                             |         0 |        0
 table_constraints                         |         0 |        0
 view_routine_usage                        |         0 |        0
 pg_seclabel                               |         0 |        0
 sequences                                 |         0 |        0
 role_column_grants                        |         0 |        0
 referential_constraints                   |         0 |        0
 pg_toast_1255                             |         0 |        0
 profile_quota_history                     |         0 |        0
 parameters                                |         0 |        0
 pg_enum                                   |         0 |        0
 schemata                                  |         0 |        0
 pg_toast_88488                            |         0 |        0
 key_column_usage                          |         0 |        0
 enabled_roles                             |         0 |        0
 domains                                   |         0 |        0
 pg_hba_file_rules                         |         0 |        0
 pg_toast_13653                            |         0 |        0
 pg_foreign_data_wrapper                   |         0 |        0
 routines                                  |         0 |        0
 domain_udt_usage                          |         0 |        0
 pg_largeobject                            |         0 |        0
 profile_hdr_archive                       |         0 |        0
 domain_constraints                        |         0 |        0
 pg_toast_88878                            |         0 |        0
 constraint_table_usage                    |         0 |        0
 role_routine_grants                       |         0 |        0
 constraint_column_usage                   |         0 |        0
 columns                                   |         0 |        0
 pg_toast_88279                            |         0 |        0
 cross_domain_map                          |         0 |        0
 pg_toast_88438                            |         0 |        0
 column_udt_usage                          |         0 |        0
 routine_privileges                        |         0 |        0
 column_privileges                         |         0 |        0
 pg_statistic_ext                          |         0 |        0
 column_domain_usage                       |         0 |        0
 collation_character_set_applicability     |         0 |        0
 pg_toast_3381                             |         0 |        0
 collations                                |         0 |        0
 pg_toast_88745                            |         0 |        0
 check_constraints                         |         0 |        0
 pg_toast_2964                             |         0 |        0
 pg_toast_88817                            |         0 |        0
 character_sets                            |         0 |        0
 pg_toast_3596                             |         0 |        0
 check_constraint_routine_usage            |         0 |        0
 administrable_role_authorizations         |         0 |        0
 applicable_roles                          |         0 |        0
 attributes                                |         0 |        0
 information_schema_catalog_name           |         0 |        0
 pg_user_mappings                          |         0 |        0
 pg_stat_progress_vacuum                   |         0 |        0
 profile_job_archive                       |         0 |        0
 pg_toast_5698021                          |         0 |        0
 profile_seasonaljobs_archive              |         0 |        0
 pg_toast_5698030                          |         0 |        0
 pg_stat_bgwriter                          |         0 |        0
 pg_settings                               |         0 |        0
 pg_subscription_rel                       |         0 |        0
 pg_stat_archiver                          |         0 |        0
 pg_policy                                 |         0 |        0
 pg_shseclabel                             |         0 |        0
 pg_toast_88852                            |         0 |        0
 pg_stat_xact_user_functions               |         0 |        0
 pg_toast_5625042                          |         0 |        0
 pg_toast_5697010                          |         0 |        0
 flickr_set                                |         0 |        0
 pg_stat_user_functions                    |         0 |        0
 pg_inherits                               |         0 |        0
 profile_teaching_archive                  |         0 |        0
 pg_toast_5698048                          |         0 |        0
 profile_volunteer_project_archive         |         0 |        0
 pg_toast_5698220                          |         0 |        0
 pg_event_trigger                          |         0 |        0
 pg_stat_database_conflicts                |         0 |        0
 pg_toast_88828                            |         0 |        0
